dt,hr,node_num,da_total_q1,da_total_q3,da_total_q5,da_total_q10,da_total_q15,da_total_q20,da_total_q30,da_total_q40,da_total_q50,da_total_q60,da_total_q70,da_total_q80,da_total_q85,da_total_q90,da_total_q95,da_total_q97,da_total_q99,rt_total_q1,rt_total_q3,rt_total_q5,rt_total_q10,rt_total_q15,rt_total_q20,rt_total_q30,rt_total_q40,rt_total_q50,rt_total_q60,rt_total_q70,rt_total_q80,rt_total_q85,rt_total_q90,rt_total_q95,rt_total_q97,rt_total_q99
2026-06-27,23,1491,-1.2101946,3.8888578,6.3055563,6.4106073,10.313834,10.395198,13.114466,15.172131,17.68782,19.892899,22.441418,27.138037,28.285618,30.257154,37.66901,39.59968,48.778084,-26.52657,-16.31652,-15.116269,-9.607499,-6.1948824,-1.5435628,0.26166072,2.6333706,9.445031,7.796876,13.498923,21.93096,24.088198,37.588802,59.568657,95.89136,163.10701
2026-06-27,23,1493,0.45055872,3.2070704,4.3776846,5.31651,6.197076,7.139289,7.8864985,9.27101,9.496667,10.536666,11.083772,12.389197,12.969094,14.6380205,16.801088,18.446522,21.304281,-20.873596,-7.550983,-4.804464,-2.2206645,0.7321095,2.6232266,4.5683045,6.4020467,7.865021,9.961826,10.473925,14.466489,16.6653,19.309742,22.654427,28.202572,61.987354
2026-06-27,23,1533,-4.2202272,-0.98722357,0.48792368,1.6181383,2.4719133,3.9328775,4.4844713,5.961507,5.9287443,7.1578665,7.557046,10.147157,10.984929,13.083324,15.438974,18.209963,21.569323,-31.072605,-13.028492,-11.753048,-6.038936,-2.3923793,-0.47134927,1.654345,4.1827607,6.6639123,8.65798,9.257219,14.913198,18.355831,20.0732,24.98968,28.634094,71.88716
2026-06-27,23,1534,-12.797873,-9.990854,-3.6799226,-0.08955424,-1.042189,2.1363158,4.5129237,4.627069,6.9368186,8.922939,9.723849,12.652567,16.697462,14.17829,17.238762,19.056385,19.949224,-62.303505,-33.244553,-29.823772,-21.90213,-21.10857,-13.059817,-10.4003935,-4.809312,0.26412275,2.0332248,5.2686567,9.427246,12.335401,14.628571,28.35358,35.057446,68.05405
2026-06-27,23,1571,-14.16947,-11.374403,-4.797856,-1.2645115,-2.2285886,0.89619213,3.5815005,3.823028,6.2753367,8.371714,9.439913,12.743478,17.229956,14.506409,17.864359,19.781042,20.973366,-65.18155,-36.06265,-31.562912,-22.928726,-22.3483,-14.097743,-10.92166,-5.0076437,0.49820974,2.9754074,6.6410494,11.264991,14.878455,17.172905,33.653793,41.64555,78.74701
2026-06-27,23,1643,-4.242893,0.88984877,3.736145,4.0962944,7.320921,7.7613144,8.444948,9.850523,14.077142,13.798517,15.663013,18.689705,18.79646,17.226763,19.426628,19.3774,24.090065,-25.054037,-16.671618,-11.510337,-10.308703,-7.07825,-1.8695878,-0.07160075,2.9464886,5.9703035,7.9696894,8.521258,10.022771,11.961361,10.799721,12.243306,13.905901,45.961895
2026-06-27,23,1645,-4.0858955,0.8788739,3.6419888,4.077278,7.1202297,7.614752,8.36981,9.813982,13.492378,13.332494,15.228442,18.525166,18.296337,16.675947,18.728422,18.807,23.337404,-25.568735,-16.888594,-11.374057,-10.5692625,-7.038806,-2.3801258,-0.076683834,2.642606,5.5154867,7.7308455,8.174684,9.630595,11.059184,10.109134,11.479935,12.824701,44.426125
2026-06-27,23,1715,-36.635704,-26.12335,-22.136732,-16.598238,-11.086211,-8.576072,-3.8174748,-1.3758703,1.9361967,3.9218173,7.0707965,10.291249,12.005017,12.8408165,19.691366,25.943155,27.80274,-103.9773,-73.78901,-62.371635,-42.197937,-29.695013,-22.536974,-10.312606,-3.4417195,4.1659617,6.3913264,12.14227,16.548357,23.239914,31.582825,45.67571,60.663982,101.27067
2026-06-27,24,28,-20.677169799804688,-16.77144432067871,-14.0624361038208,-10.186210632324219,-7.583379745483398,-4.9556779861450195,-2.1269729137420654,-0.3695949912071228,1.5010892152786255,4.6122283935546875,8.1034574508667,12.489408493041992,15.068370819091797,18.215057373046875,20.730098724365234,23.0286808013916,32.27607727050781,-37.81496810913086,-35.52122497558594,-30.81241798400879,-22.956499099731445,-14.58568000793457,-11.837650299072266,-7.6449737548828125,-4.406844139099121,-1.9486132860183716,0.597318708896637,3.1795244216918945,7.713125705718994,10.530831336975098,15.503129959106445,20.467796325683594,29.216520309448242,77.16157531738281
2026-06-27,24,29,-5.036843,0.4919981,3.2493834,3.531488,5.8268323,7.418322,7.8224607,9.800016,9.835943,12.567316,11.891169,11.613635,12.1699095,12.45777,12.011516,9.616535,15.306128,-25.118862,-15.778508,-11.245011,-13.070424,-9.501786,-7.8357573,-2.561532,-2.3578482,-1.2192545,0.98736477,3.2467642,4.4203424,1.9596491,2.8505068,8.6944275,4.937562,7.975562
