dt,node_num,incdec,bid_mw,clear_mw,profit,profit_congestion,node_name,rep_constraint,dfax,constraint_family_num,rep_dart,rep_pastyr_mvalue
2025-05-20,1532.0,Decrement,486.221,71.1,-1083.2766299999998,-1092.7169400000002,OKGE.VOLT.0208,297331.0,0.0151,471.0,DA,-3288.419921875
2025-05-20,1532.0,Decrement,486.221,71.1,-1083.2766299999998,-1092.7169400000002,OKGE.VOLT.0208,742079.0,0.05512,1226515.0,DA,-21295.611328125
2021-06-13,948.0,Increment,193.0,63.6,408.78624,27.881960000000014,WAUE.NWPS.COYOTE1,347907.0,-0.1121,182.0,DA,-158.00830078125
2021-06-13,948.0,Increment,193.0,63.6,408.78624,27.881960000000014,WAUE.NWPS.COYOTE1,293525.0,0.05917,610309.0,DA,-39.459999084472656
2021-06-13,948.0,Increment,193.0,63.6,408.78624,27.881960000000014,WAUE.NWPS.COYOTE1,338942.0,-0.0544,717395.0,DA,-89.6363983154297
2021-06-13,948.0,Increment,193.0,63.6,408.78624,27.881960000000014,WAUE.NWPS.COYOTE1,567468.0,0.0273,1223858.0,DA,-2034.1728515625
2021-08-05,1299.0,Decrement,175.72,103.9,3964.57981,4238.478859999999,SPS.VOLT.0045,873.0,0.02608,1016.0,DA,-4701.6298828125
2021-08-05,1299.0,Decrement,175.72,103.9,3964.57981,4238.478859999999,SPS.VOLT.0045,567654.0,-0.02284,1224167.0,DA,-2123.983642578125
2021-09-08,924.0,Increment,122.64,75.5,610.03611,403.39665,WAUE.MRES.WTRN,291794.0,-0.05599,606647.0,DA,-2195.10986328125
2021-09-08,924.0,Increment,122.64,75.5,610.03611,403.39665,WAUE.MRES.WTRN,568432.0,-0.04424,1224287.0,DA,-4795.23291015625
2021-09-08,924.0,Increment,122.64,75.5,610.03611,403.39665,WAUE.MRES.WTRN,568461.0,-0.05102,1224450.0,DA,-205.7503967285156
2021-12-07,293.0,Decrement,13.325,6.7,-121.07199,-67.71957000000002,KMEA_EMP1_OTTA3,2686.0,-0.0322,904.0,DA,-40638.5625
2021-12-07,293.0,Decrement,13.325,6.7,-121.07199,-67.71957000000002,KMEA_EMP1_OTTA3,349035.0,0.0121,738431.0,DA,-29279.41015625
2021-12-07,293.0,Decrement,13.325,6.7,-121.07199,-67.71957000000002,KMEA_EMP1_OTTA3,441244.0,-0.02619,939303.0,DA,-4021.049560546875
2021-12-07,293.0,Decrement,13.325,6.7,-121.07199,-67.71957000000002,KMEA_EMP1_OTTA3,567333.0,-0.02308,1224265.0,DA,-9329.201171875
2021-12-07,293.0,Decrement,13.325,6.7,-121.07199,-67.71957000000002,KMEA_EMP1_OTTA3,567050.0,0.03517,1224425.0,DA,-9153.439453125
2022-02-28,729.0,Decrement,128.15,9.6,-302.42664,-204.08652,WFEC_ANA_COMB_CYC_6,467932.0,-0.0224,235.0,DA,-2549.156982421875
2022-02-28,729.0,Decrement,128.15,9.6,-302.42664,-204.08652,WFEC_ANA_COMB_CYC_6,581.0,0.0252,951.0,DA,-4456.05126953125
2022-02-28,729.0,Decrement,128.15,9.6,-302.42664,-204.08652,WFEC_ANA_COMB_CYC_6,362882.0,-0.02409,167001.0,DA,-7857.404296875
2022-04-22,1222.0,Decrement,71.61344479031864,14.4,3726.95256,3846.35952,EDE.NORTHFORK,568259.0,0.09258,1224009.0,DA,-10123.2939453125
2022-04-22,1222.0,Decrement,71.61344479031864,14.4,3726.95256,3846.35952,EDE.NORTHFORK,567050.0,0.13826,1224425.0,DA,-9153.439453125
2022-06-24,764.0,Decrement,46.8,35.4,-231.08471,-124.63101,WR.GEEC.GT1,498689.0,0.43224,1817.0,DA,-2795.013671875
2022-06-24,764.0,Decrement,46.8,35.4,-231.08471,-124.63101,WR.GEEC.GT1,566660.0,-0.04457,1223793.0,DA,-569.177001953125
2022-06-24,764.0,Decrement,46.8,35.4,-231.08471,-124.63101,WR.GEEC.GT1,566447.0,-0.02642,1224110.0,DA,-2226.80615234375
2022-08-11,1051.0,Increment,257.8,50.0,1474.27454,1876.52974,WAUE.OPPD.GRPR1,567797.0,-0.0276,1224057.0,DA,-4102.69873046875
2023-01-04,848.0,Increment,238.2,9.6,107.2668,54.993,KCPL.WAVERLYWND,545303.0,-0.02832,1158222.0,DA,-4353.841796875
